age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
52,Private,198863,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,60,United-States,>50K
51,Private,123011,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,50,United-States,>50K
60,Self-emp-not-inc,205246,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2559,50,United-States,>50K
63,Federal-gov,39181,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,>50K
53,Private,149650,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,2559,48,United-States,>50K
51,Private,197163,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States,>50K
37,Self-emp-not-inc,137527,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,60,United-States,>50K
54,Private,161691,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,40,United-States,>50K
44,Private,326232,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,2547,50,United-States,>50K
43,Private,115806,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,2547,40,United-States,>50K
51,Private,115066,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,40,United-States,>50K
43,Private,289669,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,2547,40,United-States,>50K
71,?,100820,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,2489,15,United-States,<=50K
48,Private,121253,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472,70,United-States,>50K
71,Private,110380,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,2467,52,United-States,<=50K
73,Self-emp-not-inc,233882,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,40,Vietnam,<=50K
68,?,192052,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,2457,40,United-States,<=50K
67,?,174995,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,2457,40,United-States,<=50K
40,Self-emp-not-inc,335549,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2444,45,United-States,>50K
50,Private,237729,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,2444,72,United-States,>50K
51,State-gov,68898,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0,2444,39,United-States,>50K
42,Private,107276,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444,40,United-States,>50K
39,Private,141584,Masters,14,Never-married,Sales,Not-in-family,White,Male,0,2444,45,United-States,>50K
32,Private,207668,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,50,United-States,>50K
53,Private,313243,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,0,2444,45,United-States,>50K
40,Local-gov,147372,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2444,40,United-States,>50K
38,Private,237608,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,2444,45,United-States,>50K
33,Private,194901,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,0,2444,42,United-States,>50K
43,Private,155106,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,0,2444,70,United-States,>50K
50,Self-emp-inc,121441,11th,7,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,40,United-States,>50K
44,Private,162028,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,6,United-States,>50K
51,Self-emp-not-inc,160724,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,2415,40,China,>50K
41,Private,132222,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,40,United-States,>50K
60,Self-emp-inc,226355,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2415,70,?,>50K
37,Private,329980,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K
55,Self-emp-inc,124137,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,35,Greece,>50K
39,Self-emp-inc,329980,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,60,United-States,>50K
42,Self-emp-inc,187702,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States,>50K
49,Private,199029,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,55,United-States,>50K
47,Self-emp-not-inc,145290,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K
41,Local-gov,297248,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K
55,Self-emp-inc,227856,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K
39,Private,179731,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,United-States,>50K
42,Private,154374,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K
41,?,27187,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,0,2415,12,United-States,>50K
46,Private,326857,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,2415,65,United-States,>50K
40,Private,160369,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,United-States,>50K
32,Private,396745,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,48,United-States,>50K
41,Self-emp-inc,151089,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,55,United-States,>50K
60,Self-emp-inc,336188,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States,>50K
31,Private,279015,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,70,Taiwan,>50K
58,Self-emp-not-inc,43221,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,40,United-States,>50K
37,Self-emp-inc,30529,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States,>50K
44,Self-emp-not-inc,201742,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K
39,Self-emp-not-inc,218490,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,50,?,>50K
43,Federal-gov,156996,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,55,?,>50K
55,Self-emp-inc,298449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K
?,Self-emp-inc,191712,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States,>50K
39,Private,198654,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,67,India,>50K
46,Self-emp-not-inc,102308,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,40,United-States,>50K
39,Private,348521,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,99,United-States,>50K
62,Self-emp-inc,56248,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,60,United-States,>50K
31,Self-emp-not-inc,252752,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,2415,40,United-States,>50K
46,Private,192963,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,2415,35,Philippines,>50K
46,Self-emp-not-inc,198759,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States,>50K
39,Self-emp-inc,143123,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2415,40,United-States,>50K
39,Private,237713,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,0,2415,99,United-States,>50K
59,Private,81929,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K
